time(s),gpu_used,job_completion
17595,1,99.82
17625,1,99.82
17655,1,99.82
17685,1,99.82
17715,1,99.82
17745,1,99.82
17775,1,99.82
17805,1,99.85
17835,1,99.85
17865,1,99.85
17895,1,99.85
17925,1,99.85
17955,1,99.85
17985,1,99.85
18015,1,99.85
18045,1,99.85
18075,1,99.85
18105,1,99.87
18135,1,99.87
18165,1,99.87
18195,1,99.87
18225,1,99.87
18255,1,99.87
18285,1,99.87
18315,1,99.87
18345,1,99.87
18376,1,99.9
18406,1,99.9
18436,1,99.9
18466,1,99.9
18496,1,99.9
18526,1,99.9
18556,1,99.9
18586,1,99.9
18616,1,99.9
18646,1,99.9
18676,1,99.92
18706,1,99.92
18736,1,99.92
18766,1,99.92
18796,1,99.92
18826,1,99.92
18856,1,99.92
18886,1,99.92
18916,1,99.92
18946,1,99.95
18976,1,99.95
19006,1,99.95
19036,1,99.95
19066,1,99.95
19096,1,99.95
19126,1,99.95
19156,1,99.95
19186,1,99.95
19216,1,99.97
19246,1,99.97
19276,1,99.97
19306,1,99.97
19336,1,99.97
19366,1,99.97
19396,1,99.97
19427,1,99.97
19457,1,99.97
19487,1,99.97
19517,0,100
