time(s),gpu_used,job_completion
16723,2,99.71
16753,2,99.73
16783,1,99.74
16813,1,99.74
16843,1,99.74
16873,1,99.74
16903,1,99.74
16933,1,99.74
16963,1,99.74
16993,1,99.74
17023,1,99.74
17053,1,99.77
17083,1,99.77
17113,1,99.77
17143,1,99.77
17173,1,99.77
17203,1,99.77
17234,1,99.77
17264,1,99.77
17294,1,99.77
17324,1,99.77
17354,1,99.79
17384,1,99.79
17414,1,99.79
17444,1,99.79
17474,1,99.79
17504,1,99.79
17534,1,99.79
17564,1,99.79
17594,1,99.79
17624,1,99.82
17654,1,99.82
17684,1,99.82
17714,1,99.82
17744,1,99.82
17774,1,99.82
17804,1,99.82
17834,1,99.82
17864,1,99.82
17894,1,99.85
17924,1,99.85
17954,1,99.85
17984,1,99.85
18014,1,99.85
18044,1,99.85
18074,1,99.85
18104,1,99.85
18134,1,99.85
18164,1,99.85
18194,1,99.87
18224,1,99.87
18254,1,99.87
18284,1,99.87
18315,1,99.87
18345,1,99.87
18375,1,99.87
18405,1,99.87
18435,1,99.87
18465,1,99.9
18495,1,99.9
18525,1,99.9
18555,1,99.9
18585,1,99.9
18615,1,99.9
18645,1,99.9
18675,1,99.9
18705,1,99.9
18735,1,99.9
18765,1,99.92
18795,1,99.92
18825,1,99.92
18855,1,99.92
18885,1,99.92
18915,1,99.92
18945,1,99.92
18975,1,99.92
19005,1,99.92
19035,1,99.95
19065,1,99.95
19095,1,99.95
19125,1,99.95
19155,1,99.95
19185,1,99.95
19215,1,99.95
19245,1,99.95
19275,1,99.95
19305,1,99.97
19335,1,99.97
19365,1,99.97
19395,1,99.97
19425,1,99.97
19455,1,99.97
19486,1,99.97
19516,1,99.97
19546,1,99.97
19576,1,99.97
19606,0,100
